project_id,project_name,domain,skills,tech_stack,description,difficulty,github_url,tags
PROJ001,LMS Platform (Udemy Clone),Software Engineering,"JavaScript, React, Authentication, REST APIs, Database Design","React, Node.js, Express.js, MongoDB","An online learning platform where instructors publish courses and students enroll, learn, and track course progress.",Advanced,https://github.com/antonioerdeljac/next13-1ms-platform,"LMS, E-Learning, Courses, MERN"
PROJ002,Online Course Platform,Software Engineering,"React, JavaScript, REST APIs, Authentication, Database Design","React, Node.js, Express.js, MongoDB","A web platform for delivering structured online courses, managing learners, and organizing educational content.",Intermediate,https://github.com/PacktPublishing/MERN-Stack-Course,"Education, Courses, LMS"
PROJ003,Student Portal System,Database Management,"JavaScript, CRUD Operations, Database Design, Authentication, SQL","React, Node.js, Express.js, MySQL","A student information system for managing profiles, academic records, courses, and administrative information.",Intermediate,https://github.com/mkkhedawat/student-management-system,"Student, Portal, Database, Education"
PROJ004,Quiz Application,Software Engineering,"JavaScript, React, State Management, CRUD Operations","React, Node.js, MongoDB","An interactive quiz platform that manages questions, answers, scores, and learner performance.",Beginner,https://github.com/safak/youtube/tree/quiz-app,"Quiz, Education, Assessment"
PROJ005,Code Learning Platform,Software Engineering,"JavaScript, React, Authentication, Database Design, APIs","React, Node.js, MongoDB","A coding education platform where learners access programming lessons, exercises, and learning resources.",Advanced,https://github.com/freeCodeCamp/freeCodeCamp,"Coding, Education, Programming"
PROJ006,Netflix Clone,Software Engineering,"React, JavaScript, REST APIs, Authentication, Database Design","React, Node.js, Express.js, MongoDB","A streaming application that provides content browsing, search, authentication, and media discovery features.",Intermediate,https://github.com/karlhadwen/netflix-clone,"Streaming, Video, Entertainment"
PROJ007,YouTube Clone,Software Engineering,"React, JavaScript, REST APIs, Authentication, Database Design","React, Node.js, Express.js, MongoDB","A video-sharing platform supporting video discovery, channels, playback, and user interactions.",Advanced,https://github.com/manikandanraji/youtube-clone,"Video, Streaming, Social"
PROJ008,Spotify Clone,Software Engineering,"React, JavaScript, APIs, State Management, Database Design","React, Node.js, Express.js, MongoDB","A music streaming application for browsing tracks, managing playlists, and playing audio content.",Intermediate,https://github.com/JL978/spotify-clone-client,"Music, Streaming, Playlist"
PROJ009,Music Streaming App,Software Engineering,"JavaScript, React, APIs, State Management","JavaScript, React",A lightweight music application that allows users to browse and control audio playback.,Beginner,https://github.com/muhammederdem/mini-player,"Music, Audio, Player"
PROJ010,Video Conferencing App,Software Engineering,"JavaScript, WebSockets, Authentication, Real-Time Communication, APIs","Node.js, React, Socket.IO","A real-time video conferencing application supporting meetings, communication, and participant management.",Advanced,https://github.com/CleverProgrammers/zoom-clone,"Video, Meetings, WebRTC, Real-Time"
PROJ011,Blog Platform,Software Engineering,"React, CRUD Operations, Authentication, Database Design, REST APIs","React, Node.js, MongoDB","A publishing platform where users create, edit, publish, and manage articles and discussions.",Intermediate,https://github.com/gothinkster/realworld,"Blog, CMS, Publishing"
PROJ012,Podcast Platform,Software Engineering,"JavaScript, APIs, Authentication, Database Design, Media Handling","React, Node.js, MongoDB","A platform for discovering, organizing, and consuming podcast episodes from different creators.",Intermediate,,"Podcast, Audio, Media"
PROJ013,Full E-Commerce Platform,Software Engineering,"React, REST APIs, Authentication, Database Design, Payment Integration","React, Node.js, Express.js, MongoDB","A complete online shopping platform supporting products, carts, orders, authentication, and payments.",Advanced,https://github.com/basir/amazona,"E-Commerce, MERN, Payments"
PROJ014,Multi-Vendor Marketplace,Software Engineering,"React, Authentication, Database Design, REST APIs, Payment Integration","React, Node.js, Express.js, MongoDB","A marketplace where multiple sellers manage products while customers browse, purchase, and track orders.",Advanced,,"Marketplace, Vendors, E-Commerce"
PROJ015,Online Bookstore,Software Engineering,"React, CRUD Operations, Authentication, Database Design, Payment Integration","React, Node.js, MongoDB","An online bookstore supporting catalog browsing, shopping carts, customer accounts, and order management.",Intermediate,https://github.com/DarkSoul26/bookstore-mern,"Books, E-Commerce, MERN"
PROJ016,Fashion Store with AR Try-On,AI/ML,"Computer Vision, Image Processing, JavaScript, APIs, UI Development","React, Node.js, OpenCV",An online fashion store enhanced with augmented reality features that help customers preview products virtually.,Advanced,https://github.com/mithlesh-bit/E-commerce-site,"Fashion, AR, Computer Vision"
PROJ017,Grocery Delivery App,Mobile Development,"JavaScript, APIs, Authentication, Database Design, Payment Integration","React Native, Node.js, MongoDB","A grocery ordering application that connects customers with stores for product discovery, ordering, and delivery.",Intermediate,https://github.com/shakyShane/grocery-app,"Grocery, Delivery, Mobile"
PROJ018,Social Media Platform,Software Engineering,"React, Authentication, Database Design, REST APIs, State Management","React, Node.js, MongoDB","A social networking platform where users create posts, interact with content, and manage profiles.",Advanced,https://github.com/adrianhajdin/project_mern_memories,"Social, Posts, Community"
PROJ019,Instagram Clone,Software Engineering,"React, Authentication, Image Handling, REST APIs, Database Design","React, Node.js, MongoDB","A photo-sharing social platform supporting profiles, posts, interactions, and media uploads.",Advanced,https://github.com/safak/youtube/tree/mern-social-app,"Social, Images, Instagram"
PROJ020,Twitter Clone,Software Engineering,"React, Authentication, REST APIs, Database Design, State Management","React, Node.js, MongoDB","A microblogging platform for publishing short posts, following users, and interacting with content.",Intermediate,https://github.com/ooloth/twitter-clone,"Social, Microblogging, Posts"
PROJ021,LinkedIn Clone,Software Engineering,"React, Authentication, Database Design, REST APIs, State Management","React, Node.js, MongoDB","A professional networking platform supporting profiles, connections, posts, and career-oriented interactions.",Advanced,https://github.com/CleverProgrammers/linkedin-clone,"Professional Network, Jobs, Social"
PROJ022,Real-Time Chat Application,Software Engineering,"JavaScript, WebSockets, Authentication, REST APIs, Real-Time Communication","React, Node.js, Socket.IO, MongoDB",A messaging platform that enables users to exchange messages instantly through real-time communication.,Intermediate,https://github.com/adrianhajdin/project_chat_application,"Chat, WebSockets, Real-Time"
PROJ023,Discord Clone,Software Engineering,"React, WebSockets, Authentication, Real-Time Communication, Database Design","Next.js, Node.js, Socket.IO, MongoDB","A community communication platform supporting servers, channels, messaging, and real-time collaboration.",Advanced,https://github.com/antonioerdeljac/next13-discord-clone,"Chat, Community, Real-Time"
PROJ024,WhatsApp Clone,Software Engineering,"React, WebSockets, Authentication, Database Design, Real-Time Communication","React, Node.js, Socket.IO, MongoDB","A real-time messaging application supporting conversations, authentication, and instant message delivery.",Advanced,https://github.com/CleverProgrammers/whatsapp-mern,"Messaging, Chat, Real-Time"
PROJ025,Slack Clone,Software Engineering,"React, WebSockets, Authentication, Database Design, Real-Time Communication","React, Node.js, Socket.IO, MongoDB","A team communication platform supporting channels, direct messages, and collaborative conversations.",Advanced,https://github.com/pusher/slack-clone-client,"Collaboration, Chat, Teams"
