source_skill_id,source_skill,target_skill_id,target_skill,relationship,reason,difficulty,domain
SK516,C,SK106,C++,prerequisite,C provides the foundational procedural programming concepts required to learn object-oriented C++.,Beginner,Programming
SK516,C,SK575,Rust,recommended_prerequisite,Understanding memory management in C helps developers grasp Rust's ownership and borrowing concepts.,Intermediate,Programming
SK046,HTML,SK047,CSS,prerequisite,"HTML provides the structure of web pages, which is necessary before applying styles with CSS.",Beginner,Frontend
SK047,CSS,SK048,JavaScript,prerequisite,CSS styling concepts are often manipulated dynamically using JavaScript.,Beginner,Frontend
SK048,JavaScript,SK053,TypeScript,strong_prerequisite,"TypeScript is a superset of JavaScript, requiring strong knowledge of core JS mechanics.",Intermediate,Programming
SK048,JavaScript,SK049,React,strong_prerequisite,React relies heavily on modern JavaScript ES6+ features and asynchronous programming.,Intermediate,Frontend
SK048,JavaScript,SK050,Vue.js,strong_prerequisite,Vue.js components and reactivity system are built entirely on JavaScript fundamentals.,Intermediate,Frontend
SK048,JavaScript,SK051,Angular,strong_prerequisite,Angular applications require strong JavaScript logic alongside TypeScript.,Intermediate,Frontend
SK049,React,SK056,React Native,strong_prerequisite,React Native uses the exact same component-based architecture and hooks as React.,Intermediate,Mobile Development
SK054,Swift,SK058,SwiftUI,prerequisite,Swift language fundamentals are required before building declarative interfaces with SwiftUI.,Intermediate,Mobile Development
SK001,Python,SK142,Data Analysis,prerequisite,Python provides the syntax and ecosystem used for scripting data analysis workflows.,Beginner,Analytics
SK001,Python,SK074,Data Visualization,prerequisite,Python libraries like Matplotlib and Seaborn require basic Python programming skills.,Beginner,Data Science
SK001,Python,SK002,Machine Learning,strong_prerequisite,Python is the industry standard for implementing data processing and machine learning pipelines.,Intermediate,AI/ML
SK200,Mathematics,SK002,Machine Learning,strong_prerequisite,"Linear algebra, calculus, and probability are fundamental to understanding ML algorithms.",Intermediate,AI/ML
SK201,Algorithms,SK002,Machine Learning,recommended_prerequisite,General algorithmic thinking helps in understanding optimization and model training logic.,Intermediate,AI/ML
SK002,Machine Learning,SK003,Deep Learning,strong_prerequisite,Core ML concepts like loss functions and gradient descent are essential for neural networks.,Advanced,AI/ML
SK002,Machine Learning,SK162,Scikit-Learn,prerequisite,Scikit-Learn is the primary Python library for implementing traditional machine learning models.,Intermediate,AI/ML
SK003,Deep Learning,SK004,PyTorch,prerequisite,PyTorch is a framework specifically designed to build and train deep neural networks.,Advanced,AI/ML
