dependency_id,source_skill_id,source_skill_name,target_skill_id,target_skill_name,relationship,reason,difficulty,domain
DEP_001,SK_00070,C,SK_00073,C++,prerequisite,C provides the foundational procedural programming concepts required to learn object-oriented C++.,Beginner,Programming
DEP_002,SK_00070,C,SK_00395,Rust,recommended_prerequisite,Understanding memory management in C helps developers grasp Rust's ownership and borrowing concepts.,Intermediate,Programming
DEP_003,SK_00212,HTML,SK_00106,CSS,prerequisite,"HTML provides the structure of web pages, which is necessary before applying styles with CSS.",Beginner,Frontend
DEP_004,SK_00106,CSS,SK_00240,JavaScript,prerequisite,CSS styling concepts are often manipulated dynamically using JavaScript.,Beginner,Frontend
DEP_005,SK_00240,JavaScript,SK_00472,TypeScript,strong_prerequisite,"TypeScript is a superset of JavaScript, requiring strong knowledge of core JS mechanics.",Intermediate,Programming
DEP_006,SK_00240,JavaScript,SK_00369,React,strong_prerequisite,React relies heavily on modern JavaScript ES6+ features and asynchronous programming.,Intermediate,Frontend
DEP_007,SK_00240,JavaScript,SK_00492,Vue.js,strong_prerequisite,Vue.js components and reactivity system are built entirely on JavaScript fundamentals.,Intermediate,Frontend
DEP_008,SK_00240,JavaScript,SK_00019,Angular,strong_prerequisite,Angular applications require strong JavaScript logic alongside TypeScript.,Intermediate,Frontend
DEP_009,SK_00369,React,SK_00370,React Native,strong_prerequisite,React Native uses the exact same component-based architecture and hooks as React.,Intermediate,Mobile Development
DEP_010,SK_00448,Swift,SK_00449,SwiftUI,prerequisite,Swift language fundamentals are required before building declarative interfaces with SwiftUI.,Intermediate,Mobile Development
DEP_011,SK_00360,Python,SK_00113,Data Analysis,prerequisite,Python provides the syntax and ecosystem used for scripting data analysis workflows.,Beginner,Analytics
DEP_012,SK_00360,Python,SK_00121,Data Visualization,prerequisite,Python libraries like Matplotlib and Seaborn require basic Python programming skills.,Beginner,Data Science
DEP_013,SK_00360,Python,SK_00264,Machine Learning,strong_prerequisite,Python is the industry standard for implementing data processing and machine learning pipelines.,Intermediate,AI/ML
