career\_id,career\_title,career_domain,interest\_type,interest\_score,interest\_description,career\_description,,
CAR001,AI Engineer,Artificial Intelligence,Investigative,4.9,Requires strong interest in research and solving complex algorithms.,AI Engineers design and deploy artificial intelligence systems using machine learning and deep learning.,,
CAR001,AI Engineer,Artificial Intelligence,Realistic,3.8,Involves practical implementation of AI models into production environments.,AI Engineers design and deploy artificial intelligence systems using machine learning and deep learning.,,
CAR001,AI Engineer,Artificial Intelligence,Conventional,3.4,Requires structured data management and organized code repositories.,AI Engineers design and deploy artificial intelligence systems using machine learning and deep learning.,,
CAR001,AI Engineer,Artificial Intelligence,Enterprising,2.8,Involves aligning AI capabilities with broader business objectives.,AI Engineers design and deploy artificial intelligence systems using machine learning and deep learning.,,
CAR002,Machine Learning Engineer,Artificial Intelligence,Investigative,4.8,Focuses heavily on data analysis and algorithmic experimentation.,Machine Learning Engineers build and optimize scalable machine learning models for production.,,
CAR002,Machine Learning Engineer,Artificial Intelligence,Conventional,3.9,Requires rigorous documentation and structured model evaluation processes.,Machine Learning Engineers build and optimize scalable machine learning models for production.,,
CAR002,Machine Learning Engineer,Artificial Intelligence,Realistic,3.5,Involves hands-on deployment of models to cloud or edge hardware.,Machine Learning Engineers build and optimize scalable machine learning models for production.,,
CAR003,Data Scientist,Data Science,Investigative,4.9,Requires deep analytical thinking and mathematical modeling.,Data Scientists analyze large datasets to extract actionable insights and build predictive models.,,
CAR003,Data Scientist,Data Science,Conventional,4.1,Involves cleaning and organizing massive datasets for analysis.,Data Scientists analyze large datasets to extract actionable insights and build predictive models.,,
CAR003,Data Scientist,Data Science,Enterprising,3.2,Requires presenting findings to stakeholders to drive business strategy.,Data Scientists analyze large datasets to extract actionable insights and build predictive models.,,
CAR004,Data Engineer,Data Engineering,Conventional,4.8,Focuses on building structured and reliable data pipelines.,Data Engineers design and maintain scalable data architecture and processing systems.,,
CAR004,Data Engineer,Data Engineering,Investigative,4.2,Involves solving complex data transformation and integration challenges.,Data Engineers design and maintain scalable data architecture and processing systems.,,
CAR004,Data Engineer,Data Engineering,Realistic,3.5,Requires practical implementation of database servers and storage hardware.,Data Engineers design and maintain scalable data architecture and processing systems.,,
CAR005,Software Engineer,Software Engineering,Investigative,4.7,Requires logical problem solving and software architecture design.,Software Engineers develop and maintain robust software applications and systems.,,
CAR005,Software Engineer,Software Engineering,Realistic,4,Involves hands-on coding and building functional software systems.,Software Engineers develop and maintain robust software applications and systems.,,
CAR005,Software Engineer,Software Engineering,Conventional,3.6,Requires following structured coding standards and version control.,Software Engineers develop and maintain robust software applications and systems.,,
CAR006,Backend Developer,Software Engineering,Investigative,4.6,Focuses on server-side logic and algorithmic efficiency.,Backend Developers build the server-side logic and APIs that power web applications.,,
CAR006,Backend Developer,Software Engineering,Conventional,4.2,Requires structured database management and secure data handling.,Backend Developers build the server-side logic and APIs that power web applications.,,
CAR006,Backend Developer,Software Engineering,Realistic,3.8,Involves practical deployment of backend services to servers.,Backend Developers build the server-side logic and APIs that power web applications.,,
CAR007,Frontend Developer,Software Engineering,Artistic,4.5,Requires a strong eye for visual design and user interfaces.,Frontend Developers create the visual and interactive elements of web applications.,,
CAR007,Frontend Developer,Software Engineering,Investigative,4.1,Involves solving browser compatibility and client-side logic issues.,Frontend Developers create the visual and interactive elements of web applications.,,
CAR007,Frontend Developer,Software Engineering,Social,3.4,Requires collaboration with users and designers to improve accessibility.,Frontend Developers create the visual and interactive elements of web applications.,,
CAR008,Full Stack Developer,Software Engineering,Investigative,4.8,Requires solving problems across both client and server architectures.,Full Stack Developers build both the frontend and backend components of software applications.,,
CAR008,Full Stack Developer,Software Engineering,Artistic,3.9,Involves designing intuitive user interfaces for the frontend.,Full Stack Developers build both the frontend and backend components of software applications.,,
CAR008,Full Stack Developer,Software Engineering,Realistic,3.7,Requires hands-on implementation of complete functional systems.,Full Stack Developers build both the frontend and backend components of software applications.,,
CAR009,Mobile Application Developer,Software Engineering,Artistic,4.2,Focuses on creating engaging and responsive mobile user interfaces.,Mobile Application Developers design and build applications for iOS and Android devices.,,
CAR009,Mobile Application Developer,Software Engineering,Investigative,4.5,Requires optimizing mobile performance and battery usage algorithms.,Mobile Application Developers design and build applications for iOS and Android devices.,,
CAR009,Mobile Application Developer,Software Engineering,Social,3.5,Involves understanding user behavior to improve mobile experiences.,Mobile Application Developers design and build applications for iOS and Android devices.,,
CAR010,Cloud Engineer,Cloud Computing,Realistic,4.6,Involves hands-on configuration of cloud infrastructure and virtual hardware.,Cloud Engineers design and manage scalable cloud computing environments.,,
