career_skill_id,career_id,skill_id,importance,in_demand,hot_technology,description
CS_0001,CAR_003,SK_00360,Critical,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0002,CAR_003,SK_00264,Critical,Yes,Yes,Methods for building systems that learn patterns from data and make predictions.
CS_0003,CAR_003,SK_00132,Critical,Yes,Yes,Machine learning approach based on multi-layer neural networks for complex data tasks.
CS_0004,CAR_003,SK_00361,High,Yes,Yes,Deep learning framework widely used for developing and training neural network models.
CS_0005,CAR_003,SK_00457,High,Yes,Yes,Open-source machine learning framework for training and deploying deep neural networks.
CS_0006,CAR_003,SK_00435,Medium,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0007,CAR_003,SK_00145,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CS_0008,CAR_003,SK_00189,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CS_0009,CAR_003,SK_00046,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CS_0010,CAR_003,SK_00188,Medium,Yes,Yes,"AI systems capable of generating text, images, or other media in response to prompts."
CS_0011,CAR_003,SK_00255,Medium,Yes,Yes,Advanced AI models trained on massive text datasets to understand and generate human language.
CS_0012,CAR_003,SK_00382,Medium,Yes,No,Architectural style for designing networked applications and integrating software services.
CS_0013,CAR_076,SK_00360,Critical,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CS_0014,CAR_076,SK_00264,Critical,Yes,Yes,Methods for building systems that learn patterns from data and make predictions.
CS_0015,CAR_076,SK_00132,High,Yes,Yes,Machine learning approach based on multi-layer neural networks for complex data tasks.
CS_0016,CAR_076,SK_00331,High,Yes,No,Data manipulation and analysis library for Python providing high-performance data structures.
CS_0017,CAR_076,SK_00024,Medium,Yes,No,Unified analytics engine for large-scale data processing and distributed computing.
CS_0018,CAR_076,SK_00435,High,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CS_0019,CAR_076,SK_00145,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CS_0020,CAR_076,SK_00252,Medium,Yes,No,"Container orchestration platform for automating application deployment, scaling, and management."
