career_id,career_title,skill_id,skill_name,skill_category,importance,in_demand,hot_technology,description
CAR001,AI Engineer,SK001,Python,Programming,Critical,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR001,AI Engineer,SK002,Machine Learning,AI/ML,Critical,Yes,Yes,Methods for building systems that learn patterns from data and make predictions.
CAR001,AI Engineer,SK003,Deep Learning,AI/ML,Critical,Yes,Yes,Machine learning approach based on multi-layer neural networks for complex data tasks.
CAR001,AI Engineer,SK004,PyTorch,AI/ML,High,Yes,Yes,Deep learning framework widely used for developing and training neural network models.
CAR001,AI Engineer,SK009,TensorFlow,AI/ML,High,Yes,Yes,Open-source machine learning framework for training and deploying deep neural networks.
CAR001,AI Engineer,SK005,SQL,Database,Medium,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CAR001,AI Engineer,SK006,Docker,DevOps,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CAR001,AI Engineer,SK007,Git,DevOps,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR001,AI Engineer,SK012,AWS,Cloud,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR001,AI Engineer,SK036,Generative AI,Generative AI,Medium,Yes,Yes,"AI systems capable of generating text, images, or other media in response to prompts."
CAR001,AI Engineer,SK037,Large Language Models,Generative AI,Medium,Yes,Yes,Advanced AI models trained on massive text datasets to understand and generate human language.
CAR001,AI Engineer,SK019,REST APIs,Web Development,Medium,Yes,No,Architectural style for designing networked applications and integrating software services.
CAR002,Machine Learning Engineer,SK001,Python,Programming,Critical,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR002,Machine Learning Engineer,SK002,Machine Learning,AI/ML,Critical,Yes,Yes,Methods for building systems that learn patterns from data and make predictions.
CAR002,Machine Learning Engineer,SK003,Deep Learning,AI/ML,High,Yes,Yes,Machine learning approach based on multi-layer neural networks for complex data tasks.
CAR002,Machine Learning Engineer,SK010,Pandas,Data Science,High,Yes,No,Data manipulation and analysis library for Python providing high-performance data structures.
CAR002,Machine Learning Engineer,SK011,Apache Spark,Data Engineering,Medium,Yes,No,Unified analytics engine for large-scale data processing and distributed computing.
CAR002,Machine Learning Engineer,SK005,SQL,Database,High,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CAR002,Machine Learning Engineer,SK006,Docker,DevOps,High,Yes,No,Containerization technology used to package applications and dependencies for consistent deployment.
CAR002,Machine Learning Engineer,SK008,Kubernetes,DevOps,Medium,Yes,No,"Container orchestration platform for automating application deployment, scaling, and management."
CAR002,Machine Learning Engineer,SK020,CI/CD,DevOps,High,Yes,No,Continuous integration and continuous deployment practices for automated software delivery.
CAR002,Machine Learning Engineer,SK007,Git,DevOps,High,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR002,Machine Learning Engineer,SK012,AWS,Cloud,High,Yes,No,Amazon Web Services cloud computing platform for deploying scalable applications.
CAR002,Machine Learning Engineer,SK039,MLOps,MLOps,Critical,Yes,Yes,"Practices for deploying, monitoring, and maintaining machine learning models in production."
CAR003,Data Scientist,SK001,Python,Programming,Critical,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR003,Data Scientist,SK005,SQL,Database,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CAR003,Data Scientist,SK010,Pandas,Data Science,Critical,Yes,No,Data manipulation and analysis library for Python providing high-performance data structures.
CAR003,Data Scientist,SK040,NumPy,Data Science,High,Yes,No,Fundamental package for scientific computing with Python supporting large arrays and matrices.
CAR003,Data Scientist,SK002,Machine Learning,AI/ML,High,Yes,Yes,Methods for building systems that learn patterns from data and make predictions.
CAR003,Data Scientist,SK041,Statistics,Data Science,Critical,Yes,No,"Mathematical science pertaining to the collection, analysis, interpretation, and presentation of data."
CAR003,Data Scientist,SK042,Data Visualization,Data Science,High,Yes,No,Graphical representation of information and data to highlight patterns and trends.
CAR003,Data Scientist,SK043,Scikit-learn,AI/ML,High,Yes,No,"Machine learning library for Python featuring classification, regression, and clustering algorithms."
CAR003,Data Scientist,SK007,Git,DevOps,Medium,Yes,No,Version control system used for tracking code changes and collaborating on software.
CAR003,Data Scientist,SK011,Apache Spark,Data Engineering,Medium,Yes,No,Unified analytics engine for large-scale data processing and distributed computing.
CAR003,Data Scientist,SK044,R,Programming,Medium,No,No,Programming language and free software environment for statistical computing and graphics.
CAR003,Data Scientist,SK028,Azure,Cloud,Medium,Yes,No,Microsoft's public cloud computing platform providing a broad range of cloud services.
CAR004,Data Engineer,SK005,SQL,Database,Critical,Yes,No,"Query language used to store, retrieve, and analyze structured data in databases."
CAR004,Data Engineer,SK001,Python,Programming,Critical,Yes,Yes,"General-purpose programming language widely used for AI, machine learning, and backend development."
CAR004,Data Engineer,SK025,ETL,Data Engineering,Critical,Yes,No,"Extract, Transform, Load processes for migrating and preparing data for analysis."
CAR004,Data Engineer,SK024,Data Warehousing,Data Engineering,Critical,Yes,No,Central repositories of integrated data from one or more disparate sources.
CAR004,Data Engineer,SK011,Apache Spark,Data Engineering,High,Yes,No,Unified analytics engine for large-scale data processing and distributed computing.
