career_id,career_title,career_domain,career_description
CAR_001,3D Graphics Engineer,Game Development,3D Graphics Engineers develop rendering engines and graphics pipelines for visual applications.
CAR_002,3D Modeler (Technical),Unknown,
CAR_003,AI Engineer,Artificial Intelligence,AI Engineers design and deploy artificial intelligence systems using machine learning and deep learning.
CAR_004,AI Ethics Researcher,Unknown,
CAR_005,AI Product Manager,Product Management,AI Product Managers define the vision and strategy for artificial intelligence products.
CAR_006,AR/VR Developer,Game Development,AR/VR Developers create augmented and virtual reality applications and simulations.
CAR_007,Acoustic Engineer (IT/Hardware),Unknown,
CAR_008,Agile Coach,Product Management,Agile Coaches help organizations adopt and improve agile practices across multiple teams.
CAR_009,Application Security Engineer,Cybersecurity,Application Security Engineers integrate security practices into the software development lifecycle.
CAR_010,Automation Architect,Unknown,
CAR_011,Automation Test Engineer,QA & Testing,Automation Test Engineers write scripts to automate the software testing process.
CAR_012,BI Developer,Unknown,
CAR_013,Backend Developer,Software Engineering,Backend Developers build the server-side logic and APIs that power web applications.
CAR_014,Big Data Engineer,Data Engineering,Big Data Engineers build scalable systems to process and analyze massive datasets.
CAR_015,Bioinformatics Scientist,Unknown,
CAR_016,Blockchain Developer,Web3 & Blockchain,Blockchain Developers build decentralized applications and secure distributed ledger systems.
CAR_017,Business Analyst,Product & Business,Business Analysts evaluate business models and integrate technology to improve efficiency.
CAR_018,Business Intelligence Developer,Data Science,Business Intelligence Developers create tools and dashboards to visualize business data.
CAR_019,CRM Developer,Unknown,
CAR_020,Chief Information Officer,Unknown,
CAR_021,Chief Information Security Officer,Unknown,
CAR_022,Chief Technology Officer,Unknown,
CAR_023,Cloud Architect,Cloud Computing,Cloud Architects design and oversee the implementation of enterprise cloud environments.
CAR_024,Cloud Engineer,Cloud Computing,Cloud Engineers design and manage scalable cloud computing environments.
CAR_025,Cloud Security Engineer,Cybersecurity,Cloud Security Engineers design and implement security controls for cloud-based infrastructure.
CAR_026,Cloud Solutions Architect,Solutions Architecture,Cloud Solutions Architects design and deploy complex cloud-based applications and infrastructure.
CAR_027,Cloud Support Engineer,Unknown,
CAR_028,Computer Graphics Engineer,Unknown,
CAR_029,Computer Vision Engineer,Artificial Intelligence,Computer Vision Engineers build systems that extract information from digital images and videos.
CAR_030,Conversational AI Designer,Unknown,
CAR_031,Cryptographer,Cybersecurity,Cryptographers design secure algorithms and protocols to protect sensitive data.
CAR_032,Cybersecurity Analyst,Unknown,
CAR_033,Cybersecurity Engineer,Cybersecurity,Cybersecurity Engineers protect networks and systems from digital attacks and unauthorized access.
CAR_034,Data Analyst,Data Science,Data Analysts interpret complex datasets to help organizations make informed decisions.
CAR_035,Data Architect,Solutions Architecture,Data Architects design and manage complex data systems and architectures for organizations.
CAR_036,Data Engineer,Data Engineering,Data Engineers design and maintain scalable data architecture and processing systems.
CAR_037,Data Governance Analyst,Data Analytics,"Data Governance Analysts ensure that organizational data is accurate, secure, and compliant with regulations."
CAR_038,Data Privacy Officer,Unknown,
CAR_039,Data Product Manager,Product Management,Data Product Managers oversee the development of data-driven products and machine learning features.
CAR_040,Data Scientist,Data Science,Data Scientists analyze large datasets to extract actionable insights and build predictive models.
CAR_041,Data Warehouse Engineer,Data Engineering,Data Warehouse Engineers design and manage central repositories for integrated data.
CAR_042,Database Administrator,Unknown,
CAR_043,Database Engineer,Data Engineering,Database Engineers design and optimize database systems for high performance and reliability.
CAR_044,Decentralized App Developer,Web3 & Blockchain,Decentralized App Developers build web applications that interact with blockchain smart contracts.
CAR_045,DevOps Engineer,DevOps,DevOps Engineers automate and streamline the software development and deployment lifecycle.
CAR_046,ERP Consultant,Unknown,
CAR_047,Embedded Systems Engineer,Hardware & Robotics,Embedded Systems Engineers develop software that runs on dedicated hardware devices.
CAR_048,Engineering Manager,Product & Business,Engineering Managers oversee software development teams and technical project delivery.
CAR_049,Enterprise Architect,Solutions Architecture,Enterprise Architects design the overarching IT strategy and infrastructure for large organizations.
CAR_050,FPGA Designer,Hardware & Robotics,FPGA Designers program field-programmable gate arrays for custom hardware acceleration.
CAR_051,Financial Data Analyst,Data Analytics,Financial Data Analysts analyze financial data to help organizations make investment and business decisions.
