career_interest_id,career_id,interest_type,interest_score,interest_description
CI_001,CAR_003,Investigative,4.9,Requires strong interest in research and solving complex algorithms.
CI_002,CAR_003,Realistic,3.8,Involves practical implementation of AI models into production environments.
CI_003,CAR_003,Conventional,3.4,Requires structured data management and organized code repositories.
CI_004,CAR_003,Enterprising,2.8,Involves aligning AI capabilities with broader business objectives.
CI_005,CAR_076,Investigative,4.8,Focuses heavily on data analysis and algorithmic experimentation.
CI_006,CAR_076,Conventional,3.9,Requires rigorous documentation and structured model evaluation processes.
CI_007,CAR_076,Realistic,3.5,Involves hands-on deployment of models to cloud or edge hardware.
CI_008,CAR_040,Investigative,4.9,Requires deep analytical thinking and mathematical modeling.
CI_009,CAR_040,Conventional,4.1,Involves cleaning and organizing massive datasets for analysis.
CI_010,CAR_040,Enterprising,3.2,Requires presenting findings to stakeholders to drive business strategy.
CI_011,CAR_036,Conventional,4.8,Focuses on building structured and reliable data pipelines.
CI_012,CAR_036,Investigative,4.2,Involves solving complex data transformation and integration challenges.
CI_013,CAR_036,Realistic,3.5,Requires practical implementation of database servers and storage hardware.
CI_014,CAR_106,Investigative,4.7,Requires logical problem solving and software architecture design.
CI_015,CAR_106,Realistic,4.0,Involves hands-on coding and building functional software systems.
CI_016,CAR_106,Conventional,3.6,Requires following structured coding standards and version control.
CI_017,CAR_013,Investigative,4.6,Focuses on server-side logic and algorithmic efficiency.
CI_018,CAR_013,Conventional,4.2,Requires structured database management and secure data handling.
CI_019,CAR_013,Realistic,3.8,Involves practical deployment of backend services to servers.
CI_020,CAR_054,Artistic,4.5,Requires a strong eye for visual design and user interfaces.
CI_021,CAR_054,Investigative,4.1,Involves solving browser compatibility and client-side logic issues.
CI_022,CAR_054,Social,3.4,Requires collaboration with users and designers to improve accessibility.
CI_023,CAR_055,Investigative,4.8,Requires solving problems across both client and server architectures.
CI_024,CAR_055,Artistic,3.9,Involves designing intuitive user interfaces for the frontend.
CI_025,CAR_055,Realistic,3.7,Requires hands-on implementation of complete functional systems.
CI_026,CAR_081,Artistic,4.2,Focuses on creating engaging and responsive mobile user interfaces.
CI_027,CAR_081,Investigative,4.5,Requires optimizing mobile performance and battery usage algorithms.
CI_028,CAR_081,Social,3.5,Involves understanding user behavior to improve mobile experiences.
CI_029,CAR_024,Realistic,4.6,Involves hands-on configuration of cloud infrastructure and virtual hardware.
CI_030,CAR_024,Conventional,4.3,Requires structured management of cloud resources and access policies.
CI_031,CAR_024,Investigative,3.9,Involves troubleshooting complex networking and cloud architecture issues.
CI_032,CAR_045,Realistic,4.7,Focuses on building and maintaining practical deployment pipelines.
CI_033,CAR_045,Conventional,4.5,Requires strict organization of continuous integration and delivery processes.
CI_034,CAR_045,Investigative,4.0,Involves diagnosing deployment failures and system bottlenecks.
CI_035,CAR_104,Investigative,4.8,Requires deep analytical skills to diagnose complex system outages.
CI_036,CAR_104,Realistic,4.4,Involves hands-on configuration of monitoring tools and infrastructure.
CI_037,CAR_104,Conventional,4.1,Requires structured incident response and post-mortem documentation.
CI_038,CAR_033,Investigative,4.9,Requires analyzing threat vectors and researching new vulnerabilities.
CI_039,CAR_033,Realistic,4.2,Involves hands-on implementation of firewalls and security hardware.
CI_040,CAR_033,Conventional,4.0,Requires strict adherence to security protocols and compliance standards.
CI_041,CAR_100,Investigative,4.7,Focuses on analyzing security logs and detecting anomalous behavior.
CI_042,CAR_100,Conventional,4.6,Requires organized documentation of security events and audit trails.
CI_043,CAR_100,Realistic,3.5,Involves practical configuration of security monitoring tools.
CI_044,CAR_086,Investigative,4.9,Requires creative problem solving to discover hidden security flaws.
CI_045,CAR_086,Realistic,4.5,Involves hands-on exploitation of networks and applications.
CI_046,CAR_086,Enterprising,3.8,Requires presenting security risks to management to drive security investments.
CI_047,CAR_085,Realistic,4.8,Focuses on the physical and logical configuration of routers and switches.
CI_048,CAR_085,Conventional,4.4,Requires structured IP addressing and network documentation.
CI_049,CAR_085,Investigative,3.7,Involves troubleshooting complex packet routing and connectivity issues.
CI_050,CAR_043,Conventional,4.9,Requires highly structured data modeling and schema management.
CI_051,CAR_043,Investigative,4.3,Involves analyzing query performance and optimizing execution plans.
CI_052,CAR_043,Realistic,3.6,Requires practical configuration of database servers and storage arrays.
CI_053,CAR_025,Investigative,4.8,Requires researching cloud-specific vulnerabilities and attack vectors.
CI_054,CAR_025,Realistic,4.3,Involves hands-on configuration of cloud identity and access management.
CI_055,CAR_025,Conventional,4.1,Requires structured compliance auditing of cloud environments.
CI_056,CAR_096,Realistic,4.9,Focuses heavily on hardware integration and physical machine design.
CI_057,CAR_096,Investigative,4.7,Requires complex mathematical modeling for kinematics and control systems.
CI_058,CAR_096,Conventional,3.5,Involves structured testing and calibration of robotic components.
CI_059,CAR_074,Realistic,4.8,Requires hands-on work with sensors and embedded hardware devices.
CI_060,CAR_074,Investigative,4.5,Involves solving low-power networking and data transmission challenges.
CI_061,CAR_074,Enterprising,3.4,Requires driving innovation for smart home and industrial applications.
CI_062,CAR_047,Realistic,4.9,Focuses on programming microcontrollers and interacting with hardware.
CI_063,CAR_047,Investigative,4.6,Requires debugging complex hardware-software integration issues.
CI_064,CAR_047,Conventional,3.8,Involves strict adherence to memory constraints and real-time processing rules.
CI_065,CAR_120,Investigative,4.8,Requires deep analytical thinking to design complex semiconductor circuits.
CI_066,CAR_120,Realistic,4.7,Involves practical layout and physical design of silicon wafers.
CI_067,CAR_120,Conventional,4.0,Requires highly structured verification and testing of chip designs.
CI_068,CAR_016,Investigative,4.7,Requires researching cryptographic algorithms and decentralized protocols.
CI_069,CAR_016,Enterprising,4.1,Involves driving innovation in decentralized finance and Web3 business models.
