project_id,project_name,domain,difficulty,github_url,description,tech_stack,tags,skills
PROJ_001,LMS Platform (Udemy Clone),Software Engineering,Advanced,https://github.com/antonioerdeljac/next13-1ms-platform,"An online learning platform where instructors publish courses and students enroll, learn, and track course progress.","React, Node.js, Express.js, MongoDB","LMS, E-Learning, Courses, MERN","JavaScript, React, Authentication, REST APIs, Database Design"
PROJ_002,Online Course Platform,Software Engineering,Intermediate,https://github.com/PacktPublishing/MERN-Stack-Course,"A web platform for delivering structured online courses, managing learners, and organizing educational content.","React, Node.js, Express.js, MongoDB","Education, Courses, LMS","React, JavaScript, REST APIs, Authentication, Database Design"
PROJ_003,Student Portal System,Database Management,Intermediate,https://github.com/mkkhedawat/student-management-system,"A student information system for managing profiles, academic records, courses, and administrative information.","React, Node.js, Express.js, MySQL","Student, Portal, Database, Education","JavaScript, CRUD Operations, Database Design, Authentication, SQL"
PROJ_004,Quiz Application,Software Engineering,Beginner,https://github.com/safak/youtube/tree/quiz-app,"An interactive quiz platform that manages questions, answers, scores, and learner performance.","React, Node.js, MongoDB","Quiz, Education, Assessment","JavaScript, React, State Management, CRUD Operations"
PROJ_005,Code Learning Platform,Software Engineering,Advanced,https://github.com/freeCodeCamp/freeCodeCamp,"A coding education platform where learners access programming lessons, exercises, and learning resources.","React, Node.js, MongoDB","Coding, Education, Programming","JavaScript, React, Authentication, Database Design, APIs"
PROJ_006,Netflix Clone,Software Engineering,Intermediate,https://github.com/karlhadwen/netflix-clone,"A streaming application that provides content browsing, search, authentication, and media discovery features.","React, Node.js, Express.js, MongoDB","Streaming, Video, Entertainment","React, JavaScript, REST APIs, Authentication, Database Design"
PROJ_007,YouTube Clone,Software Engineering,Advanced,https://github.com/manikandanraji/youtube-clone,"A video-sharing platform supporting video discovery, channels, playback, and user interactions.","React, Node.js, Express.js, MongoDB","Video, Streaming, Social","React, JavaScript, REST APIs, Authentication, Database Design"
PROJ_008,Spotify Clone,Software Engineering,Intermediate,https://github.com/JL978/spotify-clone-client,"A music streaming application for browsing tracks, managing playlists, and playing audio content.","React, Node.js, Express.js, MongoDB","Music, Streaming, Playlist","React, JavaScript, APIs, State Management, Database Design"
PROJ_009,Music Streaming App,Software Engineering,Beginner,https://github.com/muhammederdem/mini-player,A lightweight music application that allows users to browse and control audio playback.,"JavaScript, React","Music, Audio, Player","JavaScript, React, APIs, State Management"
PROJ_010,Video Conferencing App,Software Engineering,Advanced,https://github.com/CleverProgrammers/zoom-clone,"A real-time video conferencing application supporting meetings, communication, and participant management.","Node.js, React, Socket.IO","Video, Meetings, WebRTC, Real-Time","JavaScript, WebSockets, Authentication, Real-Time Communication, APIs"
PROJ_011,Blog Platform,Software Engineering,Intermediate,https://github.com/gothinkster/realworld,"A publishing platform where users create, edit, publish, and manage articles and discussions.","React, Node.js, MongoDB","Blog, CMS, Publishing","React, CRUD Operations, Authentication, Database Design, REST APIs"
PROJ_012,Podcast Platform,Software Engineering,Intermediate,,"A platform for discovering, organizing, and consuming podcast episodes from different creators.","React, Node.js, MongoDB","Podcast, Audio, Media","JavaScript, APIs, Authentication, Database Design, Media Handling"
PROJ_013,Full E-Commerce Platform,Software Engineering,Advanced,https://github.com/basir/amazona,"A complete online shopping platform supporting products, carts, orders, authentication, and payments.","React, Node.js, Express.js, MongoDB","E-Commerce, MERN, Payments","React, REST APIs, Authentication, Database Design, Payment Integration"
PROJ_014,Multi-Vendor Marketplace,Software Engineering,Advanced,,"A marketplace where multiple sellers manage products while customers browse, purchase, and track orders.","React, Node.js, Express.js, MongoDB","Marketplace, Vendors, E-Commerce","React, Authentication, Database Design, REST APIs, Payment Integration"
PROJ_015,Online Bookstore,Software Engineering,Intermediate,https://github.com/DarkSoul26/bookstore-mern,"An online bookstore supporting catalog browsing, shopping carts, customer accounts, and order management.","React, Node.js, MongoDB","Books, E-Commerce, MERN","React, CRUD Operations, Authentication, Database Design, Payment Integration"
PROJ_016,Fashion Store with AR Try-On,AI/ML,Advanced,https://github.com/mithlesh-bit/E-commerce-site,An online fashion store enhanced with augmented reality features that help customers preview products virtually.,"React, Node.js, OpenCV","Fashion, AR, Computer Vision","Computer Vision, Image Processing, JavaScript, APIs, UI Development"
